Participant,Trial,Self,OtherConfidence,Others,ChoiceRed,correct,RT
104,74,0.7499298409644735,0,1e-4,1,0,674
104,76,0.7499298409644735,0.99999,0.75,1,1,1371
104,77,0.8749298409644735,0,1e-4,1,0,822
104,78,0.6249298409644735,0,1e-4,1,0,1523
104,79,0.7499298409644735,0.99999,0.5,1,1,1522
104,81,0.49992984096447346,0,1e-4,1,0,731
104,82,0.7499298409644735,0.99999,0.25,1,1,915
104,83,0.37492984096447346,0.99999,0.25,0,1,1468
104,84,0.49992984096447346,0.99999,0.75,0,0,7048
104,85,0.12492984096447346,0,1e-4,0,1,837
104,86,0.49992984096447346,0.5,0.25,0,0,4796
104,87,0.37492984096447346,0,1e-4,0,1,2617
104,88,0.37492984096447346,0.5,0.5,0,1,3244
104,92,0.24992984096447346,0.5,0.25,0,1,770
104,94,0.24992984096447346,0,1e-4,0,1,668
104,95,0.12492984096447346,0.99999,0.75,0,0,706
104,96,0.37492984096447346,0,1e-4,0,1,660
104,97,0.8749298409644735,0.99999,0.5,1,0,971
104,98,0.37492984096447346,0.99999,0.5,0,1,888
104,100,0.6249298409644735,0.99999,0.25,1,1,1813
104,101,0.6249298409644735,0,1e-4,1,0,1809
104,102,0.49992984096447346,0.5,0.75,0,0,8733
104,104,0.7499298409644735,0.5,0.25,1,0,4021
104,1,0.7499298409644735,0.99999,0.75,1,1,7725
104,3,0.6249298409644735,0.5,0.75,1,0,1204
104,4,0.37492984096447346,0.5,0.75,0,1,1090
104,5,0.6249298409644735,0.5,0.75,1,1,904
104,6,0.8749298409644735,0.5,0.75,1,0,835
104,8,0.24992984096447346,0.5,0.9999,0,0,791
104,9,0.49992984096447346,0.5,0.5,0,0,1254
104,14,0.8749298409644735,0.99999,0.5,1,0,669
104,16,0.24992984096447346,0.99999,0.75,0,1,955
104,20,0.49992984096447346,0.5,0.9999,0,0,3531
104,21,0.7499298409644735,0.5,0.5,1,1,458
104,24,0.7499298409644735,0.5,0.9999,1,1,915
104,25,0.12492984096447346,0.99999,0.9999,0,0,436
104,27,0.49992984096447346,0.5,0.9999,0,0,2376
