RedChoice,Self,Others,Group,SubjectPair,RT,Trial,Other1,Other2,Other3,Other4,Other1rt,Other2rt,Other3rt,Other4rt,Other1confidence,Other2confidence,Other3confidence,Other4confidence,OptimalChoice,OthersConfidenceRed,OthersConfidenceGreen,Subject,RTscaled
1,0.75,3898.5,1,103,17394,62,1,1,1,0,273,791,279,2356,0.5,0.5,0.5,1,1,0.5,1,103,0.4259405940594059
0,0.25,3898.5,1,103,9158,2,0,0,0,0,236,55,617,626,0.5,0.5,0.5,0.5,1,1,0.5,103,-0.6977557755775577
1,0.625,3898.5,1,103,15828,96,1,0,1,1,1955,1728,1989,1842,1,1,1,1,1,1,1,103,0.4776237623762376
0,0.25,3898.5,1,103,10554,58,0,1,1,1,1826,630,706,360,1,0.5,0.5,0.5,0,0.5,1,103,-0.6516831683168317
1,0.625,3898.5,1,103,3e4,26,1,1,1,0,2499,1991,2435,72,1,1,1,0.5,1,1,0.5,103,0.00990099009900991
0,0.625,3898.5,1,103,3e4,12,0,0,0,1,499,560,477,2134,0.5,0.5,0.5,1,0,1,0.5,103,-0.00990099009900991
1,0.875,3898.5,1,103,17610,42,0,0,0,0,1751,1664,1992,1732,1,1,1,1,1,1,1,103,0.41881188118811874
1,0.875,3898.5,1,103,11710,28,1,1,0,1,2247,2053,282,1742,1,1,0.5,1,1,1,0.5,103,0.6135313531353135
0,0.5,3898.5,1,103,8041,4,0,0,0,0,413,351,363,294,0.5,0.5,0.5,0.5,1,1,0.5,103,-0.7346204620462047
0,0.25,3898.5,1,103,11185,16,0,0,1,1,124,635,2376,2216,0.5,0.5,1,1,0,1,0.5,103,-0.6308580858085808
0,0.375,3898.5,1,103,8235,24,1,0,1,1,2260,404,2356,2348,1,0.5,1,1,0,1,0.5,103,-0.7282178217821782
1,0.625,3898.5,1,103,25510,82,1,0,0,0,2163,1801,1779,2207,1,1,1,1,0,1,1,103,0.15808580858085808
0,0.25,3898.5,1,103,4888,44,1,0,0,0,112,2309,2310,2240,0.5,1,1,1,1,0.5,1,103,-0.8386798679867986
0,0.625,3898.5,1,103,23533,40,0,0,0,0,2146,2159,1911,1864,1,1,1,1,0,1,1,103,-0.22333333333333338
0,0.375,3898.5,1,103,3e4,52,1,0,1,0,642,2258,193,1907,0.5,1,0.5,1,0,0.5,1,103,-0.00990099009900991
0,0.375,3898.5,1,103,8835,10,0,1,0,0,593,1649,213,219,0.5,1,0.5,0.5,1,1,0.5,103,-0.7084158415841584
0,0.125,3898.5,1,103,2413,8,0,0,0,1,313,800,154,2262,0.5,0.5,0.5,1,1,1,0.5,103,-0.9203630363036304
